"No.","Time","Source","Destination","Protocol","Length","Info"
"59","1.520380","192.168.1.2","160.36.131.221","TCP","54","50570  >  80 [FIN, ACK] Seq=1 Ack=1 Win=1021 Len=0"
"60","1.520429","192.168.1.2","160.36.131.221","TCP","54","50571  >  80 [FIN, ACK] Seq=1 Ack=1 Win=1026 Len=0"
"61","1.520544","192.168.1.2","160.36.131.221","HTTP","595","GET /lapack/lapack-3.7.1.tgz HTTP/1.1 "
"65","1.566516","160.36.131.221","192.168.1.2","TCP","60","80  >  50570 [ACK] Seq=1 Ack=2 Win=131 Len=0"
"66","1.567223","160.36.131.221","192.168.1.2","TCP","60","80  >  50571 [ACK] Seq=1 Ack=2 Win=131 Len=0"
"67","1.567722","160.36.131.221","192.168.1.2","TCP","60","80  >  50572 [ACK] Seq=1 Ack=542 Win=123 Len=0"
"68","1.568862","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=1 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"72","1.608691","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=1453 Win=1026 Len=0"
"79","1.654866","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=1453 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"81","1.655240","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=2905 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"83","1.655263","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=4357 Win=1026 Len=0"
"88","1.707779","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=4357 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"89","1.707779","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=5809 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"90","1.707779","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=7261 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"91","1.707827","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=8713 Win=1026 Len=0"
"92","1.753880","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=8713 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"93","1.754155","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=10165 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
